#,กลุ่ม,ฝั่ง,ขั้นตอน,บทบาท,Use case,สถานะในผัง,สถานะการทำ,หมายเหตุ
1,A,แจ้งซ่อม,A1 เปิดใบ + ข้อมูลรถ,ผู้แจ้ง,"เปิดใบแจ้งซ่อมจากปุ่ม ""แจ้งซ่อม"" บนหน้าจัดการงานซ่อมได้",—,ทำแล้ว,
2,A,แจ้งซ่อม,A1 เปิดใบ + ข้อมูลรถ,ผู้แจ้ง,เลือกรถที่จะแจ้งซ่อมจากรายการยานพาหนะได้,—,ทำแล้ว,
3,A,แจ้งซ่อม,A1 เปิดใบ + ข้อมูลรถ,ระบบ,ดึงข้อมูลรถมาแสดงให้เองเมื่อเลือกรถ (ทะเบียน · จังหวัด · ผู้ขับขี่ · ช่างคุมรถ),—,ทำแล้ว,
4,A,แจ้งซ่อม,A1 เปิดใบ + ข้อมูลรถ,ผู้แจ้ง,ระบุสถานะรถตอนนี้ได้ — ใช้งานได้ / ใช้งานไม่ได้,—,ทำแล้ว,
5,A,แจ้งซ่อม,A1 เปิดใบ + ข้อมูลรถ,ผู้แจ้ง,เลือกรูปแบบการซ่อมได้ — ดำเนินการซ่อมเอง / ส่งเรื่องให้ กรย.,—,ทำแล้ว,
6,A,แจ้งซ่อม,A1 เปิดใบ + ข้อมูลรถ,ผู้แจ้ง,"แนบเอกสารได้เมื่อเลือก ""ซ่อมเอง"" (JPG/PNG/PDF เท่านั้น · ลบทีละไฟล์ได้)",—,ทำแล้ว,ชนิดไฟล์อื่นแนบไม่ได้
7,A,แจ้งซ่อม,A1 เปิดใบ + ข้อมูลรถ,ผู้แจ้ง,เลือกส่วนที่ต้องการแจ้งซ่อมได้มากกว่า 1 จุด (ตัวรถ · อุปกรณ์พ่วง เช่น เครน/กระเช้า),—,ทำแล้ว,
8,A,แจ้งซ่อม,A1 เปิดใบ + ข้อมูลรถ,ผู้แจ้ง,เลือกงบที่ตัดได้ 4 แบบ และระบบเปิดช่องกรอกตามแบบงบที่เลือก,—,ทำแล้ว,
9,A,แจ้งซ่อม,A1 เปิดใบ + ข้อมูลรถ,ผู้แจ้ง,ระบุผู้แจ้งเหตุได้ (พนักงาน กฟภ. / พนักงานขับรถ) + ผู้รับรายงานอุบัติเหตุ,—,ทำแล้ว,
10,A,แจ้งซ่อม,A2 อาการเสีย,ผู้แจ้ง,เลือกอาการเสียจากรายการที่ระบบเตรียมไว้ แยกตามหมวด (ไฮดรอลิก · บูม/กระเช้า · ไฟฟ้า · เครื่องยนต์ · อื่นๆ),—,ทำแล้ว,
11,A,แจ้งซ่อม,A2 อาการเสีย,ระบบ,จำกัดอาการที่เลือกได้ตามจุดที่แจ้ง — เลือกตัวรถจะไม่เห็นอาการของเครน,—,ทำแล้ว,
12,A,แจ้งซ่อม,A2 อาการเสีย,ผู้แจ้ง,ระบุอาการเองได้ถ้าไม่มีในรายการ,—,ทำแล้ว,
13,A,แจ้งซ่อม,A2 อาการเสีย,ผู้แจ้ง,กรอกรายละเอียดเหตุการณ์ · เลขไมล์ปัจจุบัน · ชั่วโมงใช้งานเครื่องจักรได้,—,ทำแล้ว,
14,A,แจ้งซ่อม,A2 อาการเสีย,ผู้แจ้ง,แนบรูปภาพเหตุการณ์ได้,—,ทำแล้ว,
15,A,แจ้งซ่อม,A3 อะไหล่,ระบบ,แนะนำอะไหล่ให้อัตโนมัติจากอาการที่เลือก,—,ทำแล้ว,
16,A,แจ้งซ่อม,A3 อะไหล่,ระบบ,จัดกลุ่มการ์ดอะไหล่ตามอาการ บอกจำนวนรายการ + ยอดรวมต่ออาการ,—,ทำแล้ว,"""แบบ ค"" เจ้าของงานเลือก 16 ก.ย. 2569"
17,A,แจ้งซ่อม,A3 อะไหล่,ผู้แจ้ง,ค้นหาอะไหล่จากชื่อหรือรหัสได้,—,ทำแล้ว,
18,A,แจ้งซ่อม,A3 อะไหล่,ผู้แจ้ง,ปรับจำนวนอะไหล่แต่ละรายการได้,—,ทำแล้ว,
19,A,แจ้งซ่อม,A3 อะไหล่,ผู้แจ้ง,เอาอะไหล่ออกจากรายการได้,—,ทำแล้ว,
20,A,แจ้งซ่อม,A3 อะไหล่,ระบบ,บอกแหล่งอะไหล่ (Smart Inventory / คลังสำรอง / ต้องสั่งซื้อภายนอก) + จำนวนคงเหลือ,—,ทำแล้ว,
21,A,แจ้งซ่อม,A3 อะไหล่,ระบบ,แยกยอดให้เห็นว่าเบิกจากคลังเท่าไร · ต้องจัดซื้อเท่าไร · รวมทั้งหมด,—,ทำแล้ว,
22,A,แจ้งซ่อม,A3 อะไหล่,ผู้แจ้ง,ระบุอะไหล่นอกระบบเองได้,—,ทำแล้ว,
23,A,แจ้งซ่อม,A4 ส่งเรื่อง + ติดตาม,ผู้แจ้ง,ส่งเรื่องเพื่อขออนุมัติได้ แล้วได้เลขที่ใบแจ้งซ่อม,S1,ทำแล้ว,
24,A,แจ้งซ่อม,A4 ส่งเรื่อง + ติดตาม,ผู้แจ้ง,"ดูใบของตัวเองพร้อมสถานะในหน้า ""จัดการงานซ่อม"" ได้",—,ทำแล้ว,
