#,กลุ่ม,ฝั่ง,ขั้นตอน,บทบาท,Use case,สถานะในผัง,สถานะการทำ,หมายเหตุ
1,C,สิทธิ์,C1 เห็นรถ (ทะเบียนรถ),ระดับ 3,เห็นรถได้ทุกคันทั้งประเทศ รวมรถของ สนญ.,—,ยังไม่ทำ,
2,C,สิทธิ์,C1 เห็นรถ (ทะเบียนรถ),ระดับ 2,เห็นรถทุกคันในเขตตัวเอง ทั้งรถของหน่วยงานตัวเองและของหน่วยงานอื่นในเขตเดียวกัน,—,ยังไม่ทำ,
3,C,สิทธิ์,C1 เห็นรถ (ทะเบียนรถ),ระดับ 2,ถ้าสังกัด สนญ. เห็นรถของทุกหน่วยงานใน สนญ. — สนญ. นับเป็น 1 เขต,—,ยังไม่ทำ,เคาะ 18 ก.ย. 2569
4,C,สิทธิ์,C1 เห็นรถ (ทะเบียนรถ),ระดับ 2,เปิดรถของเขตอื่นไม่ได้ — ค้นไม่เจอ และเปิดลิงก์ตรงก็ไม่ได้,—,ยังไม่ทำ,รถ สนญ. ก็เป็นเขตอื่นสำหรับคนในเขต
5,C,สิทธิ์,C1 เห็นรถ (ทะเบียนรถ),ระดับ 1,เห็นเฉพาะรถที่หน่วยงานตัวเองเป็นเจ้าของ,—,ยังไม่ทำ,vms_mas_vehicle.vehicle_owner_dept_sap
6,C,สิทธิ์,C1 เห็นรถ (ทะเบียนรถ),ระดับ 1,ไม่เห็นรถหน่วยงานอื่น แม้อยู่เขตเดียวกัน,—,ยังไม่ทำ,
7,C,สิทธิ์,C1 เห็นรถ (ทะเบียนรถ),ระดับ 0,พขร.(บ) ไม่เห็นรถเลย — ไม่มีเมนูทะเบียนรถให้เข้า,—,ยังไม่ทำ,
8,C,สิทธิ์,C1 เห็นรถ (ทะเบียนรถ),ระบบ,กรองรายการรถในหน้าทะเบียนรถ/ช่องค้นหา/dropdown ตามระดับของคนที่ล็อกอิน ตั้งแต่ต้น ไม่ใช่โชว์แล้วค่อยห้ามตอนกด,—,ยังไม่ทำ,
9,C,สิทธิ์,C1 เห็นรถ (ทะเบียนรถ),ระบบ,เปิดหน้ารายละเอียดรถนอกขอบเขตด้วยลิงก์ตรง ต้องขึ้นว่าไม่มีสิทธิ์ ไม่ใช่หน้าว่างหรือ error,—,ยังไม่ทำ,
10,C,สิทธิ์,C2 แจ้งซ่อม,ระดับ 3,เปิดใบแจ้งซ่อมให้รถคันไหนก็ได้ทั้งประเทศ,S1,ยังไม่ทำ,
11,C,สิทธิ์,C2 แจ้งซ่อม,ระดับ 2,เปิดใบแจ้งซ่อมให้รถของทุกหน่วยงานในเขตตัวเองได้,S1,ยังไม่ทำ,
12,C,สิทธิ์,C2 แจ้งซ่อม,ระดับ 1,เปิดใบแจ้งซ่อมได้เฉพาะรถของหน่วยงานตัวเอง,S1,ยังไม่ทำ,
13,C,สิทธิ์,C2 แจ้งซ่อม,ระดับ 0,เปิดใบแจ้งซ่อมไม่ได้เลย,—,ยังไม่ทำ,
14,C,สิทธิ์,C2 แจ้งซ่อม,ระบบ,ปุ่มแจ้งซ่อมไม่ขึ้นบนรถที่อยู่นอกขอบเขต และบอกเหตุผลว่าทำไม,—,ยังไม่ทำ,
15,C,สิทธิ์,C2 แจ้งซ่อม,ระบบ,ยิง API ส่งใบข้ามขอบเขตต้องถูกปฏิเสธที่หลังบ้าน ไม่ใช่กันแค่ที่หน้าจอ,—,ยังไม่ทำ,
16,C,สิทธิ์,C3 เห็นใบแจ้งซ่อม,ระบบ,ใบแจ้งซ่อมผูกกับตัวรถ — ใครเห็นรถคันนั้น เห็นใบของคันนั้นได้ทุกใบ,S1-S22,ยังไม่ทำ,เคาะ 18 ก.ย. 2569
