Scenario,ชุด,ชื่อ Scenario,ประเภท,Actor หลัก,เงื่อนไขตั้งต้น,ขั้นตอนโดยย่อ,ผลที่คาดหวัง,ที่มา/Business Rule,ขั้นในผัง,สถานะ
TR-01,โอนถาวร,โอนรถให้หน่วยงานต่างจังหวัด,ปกติ,หน่วยงานต้นทาง,รถสภาพยังใช้ได้แต่หน่วยงานไม่ใช้แล้ว,ต้นทางเปิดใบ + เสนอรายการรถ (สภาพ·อายุ·ประวัติซ่อม) → ปลายทางตอบรับ → อนุมัติ → แจ้ง กจย. → ออกรหัสใหม่ → ประทับตรา,รถย้ายสังกัด ประวัติติดไปกับรถ,SC-F13-01 · ข้อ 8.3 (เฉพาะช่วงท้าย) · ✅ เคาะ 22 ก.ย. 2569 ต้นทางเปิดเรื่องเสมอ,T0–T13,ยังไม่ทำ
TR-02,โอนถาวร,รับโอนรถเข้าหน่วยงาน (ฝั่งปลายทาง),ปกติ,หน่วยงานปลายทาง,มีรถเสนอโอนเข้ามา,ดูข้อมูลรถล่วงหน้า → ตรวจรับสภาพ ณ วันโอน → บันทึกผลตรวจรับ,ผลตรวจรับเก็บเป็นหลักฐานผูกกับใบโอน,SC-F13-03,T7,ยังไม่ทำ
TR-03,โอนถาวร,โอนรถที่ยังมีเรื่องค้าง,ข้อยกเว้น,ระบบ,รถมีใบแจ้งซ่อมค้าง / รอบบิล Fleet card ไม่เคลียร์ / ใบนำตัวยัง active,ระบบตรวจรายการค้างก่อนยืนยันโอน,เตือนให้ปิดก่อน หรือบันทึกข้อตกลงส่งมอบพร้อมรายการค้าง,SC-F13-02 · DB ยังไม่มีที่เก็บผลตรวจ,T5–T6,ยังไม่เคาะ
TR-04,โอนถาวร,ปลายทางไม่รับโอน / ไม่ตอบ,ข้อยกเว้น,หน่วยงานปลายทาง,เสนอโอนไปแล้วแต่ปลายทางไม่รับ,ปลายทางระบุเหตุผลปฏิเสธ → เรื่องกลับต้นทาง,ต้นทางเห็นเหตุผล เลือกเสนอหน่วยงานอื่นหรือพิจารณาจำหน่ายแทน,❓ ระเบียบไม่ได้เขียนว่าปฏิเสธได้ไหม,T2–T3,ยังไม่เคาะ
TR-05,โอนถาวร,ออกรหัสสังกัดใหม่และประทับตรา,ปกติ,กจย. + ปลายทาง,การโอนได้รับอนุมัติแล้ว,ปลายทางแจ้ง กจย. ภายใน 7 วันทำการ → กจย. ออกรหัส → ปลายทางประทับตราภายใน 7 วันทำการนับถัดจากได้รับรหัส,รหัสข้างรถเป็นของสังกัดใหม่,ข้อ 8.3 · ข้อ 8.1 · แบบ SB3-015/69001,T8–T10,ยังไม่ทำ
TR-06,โอนถาวร,เลยกำหนด 7 วันทำการ,ข้อยกเว้น,ระบบ,แจ้ง กจย. ช้า หรือยังไม่ประทับตราเกินกำหนด,ระบบนับวันทำการและเตือนเมื่อใกล้ครบ/เกิน,มีรายการรถที่ค้างเกินกำหนดให้ กจย. ติดตาม,ข้อ 8.3 (กำหนดเวลาชัด แต่ไม่ได้บอกบทลงโทษ),T8·T10,ยังไม่ทำ
TR-07,โอนถาวร,รถโอนระหว่างที่ใบแจ้งซ่อมยังเดินอยู่,ข้อยกเว้น,ระบบ,ใบแจ้งซ่อมยังไม่ปิด แล้วรถเปลี่ยนสังกัด,ตัดสินว่าใบย้ายตามรถ หรือค้างที่หน่วยงาน/แผนกเดิมจนจบงาน,ใบไม่หลุดมือ และหน่วยงานที่จ่ายเงินยังเข้าถึงได้,map-05 routing · usecase สิทธิ์ข้อ 20 · 09-สิทธิ์-2-ด่าน,T5·T12,ยังไม่เคาะ
TR-08,โอนถาวร,โอนข้าม สนญ. ↔ ส่วนภูมิภาค,ทางเลือก,หน่วยงานปลายทาง,รถย้ายข้ามระหว่างสำนักงานใหญ่กับภูมิภาค,โอนตามขั้นปกติ + เปลี่ยนผู้รับผิดชอบงานทะเบียน,ผู้ชำระภาษีประจำปีเปลี่ยน (ข้อ 23) · ผู้ต่อ พ.ร.บ. ปีถัดไปเปลี่ยน (ข้อ 30.1.2),ข้อ 23 · ข้อ 30.1.2 · ข้อ 30.3.5,T11,ยังไม่ทำ
TR-09,โอนถาวร,โอนรถติดเครื่องจักรกลทุ่นแรง (เครน/กระเช้า),ทางเลือก,หน่วยงานปลายทาง,รถที่โอนติดตั้งเครื่องจักรกลทุ่นแรง,โอนตามขั้นปกติ + แจ้ง กบค. ปรับปรุงฐานข้อมูลเครื่องจักรกลทุ่นแรง,ฐานข้อมูลงานตรวจสอบ/ซ่อม/PM ของ กบค. ตรงกับสังกัดใหม่,❓ อนุมานจากข้อ 25.5 (ระเบียบระบุเฉพาะตอนจำหน่าย),T12,ยังไม่เคาะ
TR-10,โอนถาวร,รถเช่าลีสซิ่ง (รหัส 25) ขอเปลี่ยนสังกัด,ข้อยกเว้น,หน่วยงานต้นทาง,รถที่จะย้ายเป็นรถเช่าไม่ใช่รถที่ซื้อ,ตรวจว่าเป็นเรื่องแก้สัญญาเช่า ไม่ใช่โอนทรัพย์สิน,ระบบกันไม่ให้เปิดใบโอนทรัพย์สินกับรถเช่า หรือแยกเส้นทางให้,❓ ระเบียบไม่ได้พูดถึงรถเช่าในเรื่องโอน/จำหน่ายเลย,T0,ยังไม่เคาะ
TR-11,โอนถาวร,ยกเลิกการโอนกลางทาง,ข้อยกเว้น,หน่วยงานต้นทาง,เริ่มเรื่องโอนแล้วแต่ต้องยกเลิก,ยกเลิกใบโอน ระบุเหตุผล คืนสถานะรถ,รถกลับสถานะเดิม มีร่องรอยการยกเลิกในประวัติ,❓ ไม่มีที่มา,—,ยังไม่เคาะ
