#,ชุด,Scenario,ขั้นในผัง,บทบาท,Use case,ที่มา,สถานะการทำ
1,โอนถาวร,TR-01,T0-T1,ต้นทาง,เปิดใบขอเปลี่ยนสังกัดจากหน้าข้อมูลรถได้ — **เฉพาะหน่วยงานต้นทางเท่านั้นที่เปิดใบได้**,Figma 5.2 Vehicle Management · ✅ เคาะ 22 ก.ย. 2569,ยังไม่ทำ
2,โอนถาวร,TR-01,T1,ระบบ,ดึงสังกัดเดิม·เจ้าของเดิม·รหัสทรัพย์สิน·จังหวัด·รหัสข้างรถเดิม มาแสดงเองและแก้ไม่ได้,Figma Modal / Vehicle transfer,ยังไม่ทำ
3,โอนถาวร,TR-01,T1,ต้นทาง,เลือกหน่วยงานปลายทางจากผังองค์กรได้,Figma (ช่อง สังกัดยานพาหนะใหม่),ยังไม่ทำ
4,โอนถาวร,TR-01,T1,ต้นทาง,เลือกเจ้าของยานพาหนะคนใหม่ของหน่วยงานปลายทางได้,Figma (ช่อง เจ้าของยานพาหนะ) · DB transferee_emp_id,ยังไม่ทำ
5,โอนถาวร,TR-01,T1,ต้นทาง,ระบุเหตุผล/ความจำเป็นในการโอน,DB remark · ❓ ไลบรารีไม่มีช่องนี้,ยังไม่เคาะ
6,โอนถาวร,TR-01,T1,ต้นทาง,แนบเอกสารประกอบได้มากกว่า 1 ไฟล์ (บันทึกขออนุมัติ),❓ ไม่มีทั้งในไลบรารีและ DB,ยังไม่เคาะ
7,โอนถาวร,TR-01,T1,ต้นทาง,ระบุวันที่ต้องการให้มีผล,DB vehicle_transferor_date,ยังไม่ทำ
8,โอนถาวร,TR-01,T1,ระบบ,แนบสภาพ·อายุ·ประวัติซ่อมของรถไปกับใบเสนอโอนให้อัตโนมัติ,SC-F13-01,ยังไม่ทำ
9,โอนถาวร,TR-01,T1,ต้นทาง,บันทึกร่างใบโอนและกลับมาทำต่อได้,แพตเทิร์นเดียวกับใบแจ้งซ่อม 6.1.13,ยังไม่ทำ
10,โอนถาวร,TR-01,T13,ต้นทาง,ติดตามสถานะใบโอนของตัวเองได้,แพตเทิร์นเดียวกับใบแจ้งซ่อม 6.1.18,ยังไม่ทำ
