dept_sap,structure_version,effective_date,dept_level,region,province,dept_name_display,dept_name_raw,match_key,dept_size,name_verified,resource_code,size_conflict,note
,2568-10-01,2568-10-01,กฟส.,กฟก.1,นครนายก,กฟส.บ้านนา,กฟส.บ้านนา,บ้านนา,M,N,112,,
,2568-10-01,2568-10-01,กฟส.,กฟก.1,นครนายก,กฟส.ปำกพลี,กฟส.ปำกพลี,ปากพลี,XS,N,114,,
,2568-10-01,2568-10-01,กฟส.,กฟก.1,นครนายก,กฟส.องครักษ์,กฟส.องครักษ์,องครักษ์,M,N,112,,
,2568-10-01,2568-10-01,กฟส.,กฟก.1,นครนายก,กฟส.เมืองนครนำยก,กฟส.เมืองนครนำยก,เมืองนครนายก,M,N,112,,
,2568-10-01,2568-10-01,กฟส.,กฟก.1,ปทุมธานี,กฟส.คลองหลวง,กฟส.คลองหลวง,คลองหลวง,L,N,111,,
,2568-10-01,2568-10-01,กฟส.,กฟก.1,ปทุมธานี,กฟส.ธัญบุรี,กฟส.ธัญบุรี,ธัญบุรี,L,N,111,,
,2568-10-01,2568-10-01,กฟส.,กฟก.1,ปทุมธานี,กฟส.รังสิต,กฟส.รังสิต,รังสิต,L,N,111,,
,2568-10-01,2568-10-01,กฟส.,กฟก.1,ปทุมธานี,กฟส.ลาดหลุมแก้ว,กฟส.ลาดหลุมแก้ว,ลาดหลุมแก้ว,L,N,111,,
,2568-10-01,2568-10-01,กฟส.,กฟก.1,ปทุมธานี,กฟส.ลำลูกกำ,กฟส.ลำลูกกำ,ลาลูกกา,L,N,111,,
,2568-10-01,2568-10-01,กฟส.,กฟก.1,ปทุมธานี,กฟส.สำมโคก,กฟส.สำมโคก,สามโคก,S,N,113,,
,2568-10-01,2568-10-01,กฟส.,กฟก.1,ปทุมธานี,กฟส.หนองเสือ,กฟส.หนองเสือ,หนองเสือ,M,N,112,,
,2568-10-01,2568-10-01,กฟส.,กฟก.1,ปทุมธานี,กฟส.เมืองปทุมธำนี,กฟส.เมืองปทุมธำนี,เมืองปทุมธานี,L,N,111,,
,2568-10-01,2568-10-01,กฟส.,กฟก.1,ปทุมธานี,กฟส.เมืองปทุมธำนี2,กฟส.เมืองปทุมธำนี2,เมืองปทุมธานี2,L,N,111,,
,2568-10-01,2568-10-01,กฟส.,กฟก.1,ปราจีนบุรี,กฟส.กบินทร์บุรี,กฟส.กบินทร์บุรี,กบินทร์บุรี,M,N,112,,
