จังหวัด,ระดับ,หน่วยงาน,ขนาด,โครงสร้าง,ที่มาของขนาด,สี,obj
เชียงใหม่,กฟส,กฟส.สันกำแพง,M,ใหม่ (1 ม.ค. 2569),legend หน้านี้,"(1.0, 0.855, 0.612)",51
เชียงใหม่,กฟส,กฟส.สำรภี,S,ใหม่ (1 ม.ค. 2569),legend หน้านี้,"(0.847, 0.573, 0.733)",51
เชียงใหม่,กฟส,กฟส.แม่ออน,XS,ใหม่ (1 ม.ค. 2569),legend หน้านี้,"(0.996, 1.0, 0.996)",51
เชียงใหม่,กฟส,กฟส.ไชยปรำกำร,XS,ใหม่ (1 ม.ค. 2569),legend หน้านี้,"(0.996, 1.0, 0.996)",51
เชียงใหม่,กฟส,กฟส.เวียงแหง,XS,ใหม่ (1 ม.ค. 2569),legend หน้านี้,"(0.996, 1.0, 0.996)",51
เชียงใหม่,กฟส,กฟส.เมืองเชียงใหม่2,L,ใหม่ (1 ม.ค. 2569),legend หน้านี้,"(0.431, 0.106, 0.416)",51
เชียงใหม่,กฟส,กฟส.แม่ริม,M,ใหม่ (1 ม.ค. 2569),legend หน้านี้,"(1.0, 0.855, 0.612)",51
เชียงใหม่,กฟส,กฟส.สันทรำย,L,ใหม่ (1 ม.ค. 2569),legend หน้านี้,"(0.431, 0.106, 0.416)",51
เชียงใหม่,กฟส,กฟส.สันป่าตอง,M,ใหม่ (1 ม.ค. 2569),legend หน้านี้,"(1.0, 0.855, 0.612)",51
เชียงใหม่,กฟส,กฟส.หำงดง,M,ใหม่ (1 ม.ค. 2569),legend หน้านี้,"(1.0, 0.855, 0.612)",51
เชียงใหม่,กฟส,กฟส.จอมทอง,M,ใหม่ (1 ม.ค. 2569),legend หน้านี้,"(1.0, 0.855, 0.612)",51
เชียงใหม่,กฟส,กฟส.ดอยสะเก็ด,S,ใหม่ (1 ม.ค. 2569),legend หน้านี้,"(0.847, 0.573, 0.733)",51
